Image Name,STD sigma,SNR,Voxel Size (mm),Best Scale (mm)
PCB_001.nii.gz_noise_0.nii.gz,0.0,inf,0.8,0.3478261
PCB_001.nii.gz_noise_1.nii.gz,205.11280869466893,16.876950479501897,0.8,0.3745819
PCB_001.nii.gz_noise_2.nii.gz,407.11680333812774,8.681288700225,0.8,0.38552955
PCB_001.nii.gz_noise_3.nii.gz,604.5258852956089,6.014983305091477,0.8,0.39687845
PCB_001.nii.gz_noise_4.nii.gz,826.4681742447386,4.554556226144471,0.8,0.45039016
PCB_001.nii.gz_noise_5.nii.gz,1001.4969063224444,3.903742303887528,0.8,0.47498326
PCB_001.nii.gz_noise_6.nii.gz,1224.9908924568397,3.323271568028835,0.8,0.49498326
PCB_001.nii.gz_noise_7.nii.gz,1442.3391479167678,2.939875848696147,0.8,0.55295426
PCB_001.nii.gz_noise_8.nii.gz,1617.3506854351313,2.7391994822164683,0.8,0.5623322
PCB_001.nii.gz_noise_9.nii.gz,1788.2348789405544,2.5817795546296725,0.8,0.5668729
PCB_001.nii.gz_noise_10.nii.gz,2043.0809020994593,2.3561074909835997,0.8,0.65551835
10_PCB_001.nii.gz_noise_0.nii.gz,0.0,inf,1.0,0.20903012
10_PCB_001.nii.gz_noise_1.nii.gz,195.46854548919382,17.68018655641272,1.0,0.21903043
10_PCB_001.nii.gz_noise_2.nii.gz,408.7326895508457,8.62962828356865,1.0,0.32993313
10_PCB_001.nii.gz_noise_3.nii.gz,610.5858770454051,5.944159135241516,1.0,0.47031775
10_PCB_001.nii.gz_noise_4.nii.gz,827.4453329428063,4.533765120404545,1.0,0.6525084
10_PCB_001.nii.gz_noise_5.nii.gz,985.4160181652944,3.956775479930015,1.0,0.77341145
10_PCB_001.nii.gz_noise_6.nii.gz,1247.4492121617227,3.256845894431453,1.0,0.78431254
10_PCB_001.nii.gz_noise_7.nii.gz,1415.3600832198604,2.9919026771194437,1.0,0.79431444
10_PCB_001.nii.gz_noise_8.nii.gz,1653.0675521784979,2.673498923750812,1.0,0.80521744
10_PCB_001.nii.gz_noise_9.nii.gz,1832.1501519590447,2.5187190404890147,1.0,0.81476594
10_PCB_001.nii.gz_noise_10.nii.gz,2013.6247469472435,2.3847986528045313,1.0,0.83476594
15_PCB_001.nii.gz_noise_0.nii.gz,0.0,inf,1.5,0.45083613
15_PCB_001.nii.gz_noise_1.nii.gz,203.9137731318597,16.83838469380855,1.5,0.45043321
15_PCB_001.nii.gz_noise_2.nii.gz,419.4100927436279,8.354208216856708,1.5,0.46083613
15_PCB_001.nii.gz_noise_3.nii.gz,609.1837296026594,5.919792193627231,1.5,0.4759197
15_PCB_001.nii.gz_noise_4.nii.gz,805.4172948750662,4.62936107531199,1.5,0.60133777
15_PCB_001.nii.gz_noise_5.nii.gz,1048.795853494571,3.6989354010605644,1.5,0.70167227
15_PCB_001.nii.gz_noise_6.nii.gz,1193.896248505675,3.3791039384405495,1.5,0.8270903
15_PCB_001.nii.gz_noise_7.nii.gz,1468.9785995758893,2.871465032995985,1.5,1.535116
15_PCB_001.nii.gz_noise_8.nii.gz,1560.3493279693157,2.8122821413065693,1.5,1.2535116
15_PCB_001.nii.gz_noise_9.nii.gz,1884.674208494356,2.4379586570403804,1.5,1.2784281
15_PCB_001.nii.gz_noise_10.nii.gz,2078.267560410073,2.3079787423929647,1.5,1.3033445
PCB_002.nii.gz_noise_0.nii.gz,0.0,inf,0.8,0.13377926
PCB_002.nii.gz_noise_1.nii.gz,207.83754300747233,15.21565492096659,0.8,0.12541805
PCB_002.nii.gz_noise_2.nii.gz,404.48485751436033,8.01096979202124,0.8,0.27558527
PCB_002.nii.gz_noise_3.nii.gz,608.3950538608434,5.505853327255782,0.8,0.44314378
PCB_002.nii.gz_noise_4.nii.gz,807.7281118455016,4.310855058101246,0.8,0.4765886
PCB_002.nii.gz_noise_5.nii.gz,1019.0780617428471,3.566504194876285,0.8,0.49822742
PCB_002.nii.gz_noise_6.nii.gz,1207.2812466848525,3.1471201154676356,0.8,0.5434782
PCB_002.nii.gz_noise_7.nii.gz,1413.4709921082979,2.81617821555059,0.8,0.66889626
PCB_002.nii.gz_noise_8.nii.gz,1614.2170860590206,2.583362742618017,0.8,0.67153504
PCB_002.nii.gz_noise_9.nii.gz,1842.4049718834278,2.3719558820714504,0.8,0.6721739
PCB_002.nii.gz_noise_10.nii.gz,2061.892255332928,2.2176239061221596,0.8,0.6939799
PCB_002.nii.gz_noise_0.nii.gz,0.0,inf,0.8,0.14715718
PCB_002.nii.gz_noise_1.nii.gz,207.83754300747233,15.21565492096659,0.8,0.16715759
PCB_002.nii.gz_noise_2.nii.gz,404.48485751436033,8.01096979202124,0.8,0.22715294
PCB_002.nii.gz_noise_3.nii.gz,608.3950538608434,5.505853327255782,0.8,0.28093642
PCB_002.nii.gz_noise_4.nii.gz,807.7281118455016,4.310855058101246,0.8,0.5226287
PCB_002.nii.gz_noise_5.nii.gz,1019.0780617428471,3.566504194876285,0.8,0.5886287
PCB_002.nii.gz_noise_6.nii.gz,1207.2812466848525,3.1471201154676356,0.8,0.5987629
PCB_002.nii.gz_noise_7.nii.gz,1413.4709921082979,2.81617821555059,0.8,0.6287625
PCB_002.nii.gz_noise_8.nii.gz,1614.2170860590206,2.583362742618017,0.8,0.6387253
PCB_002.nii.gz_noise_9.nii.gz,1842.4049718834278,2.3719558820714504,0.8,0.6421404
PCB_002.nii.gz_noise_10.nii.gz,2061.892255332928,2.2176239061221596,0.8,0.66889626
10_PCB_002.nii.gz_noise_0.nii.gz,0.0,inf,1.0,0.114966564
10_PCB_002.nii.gz_noise_1.nii.gz,202.70480715793485,15.57902901093834,1.0,0.114966564
10_PCB_002.nii.gz_noise_2.nii.gz,400.75323087579284,8.07401281201824,1.0,0.34489968
10_PCB_002.nii.gz_noise_3.nii.gz,610.3970269006746,5.4752287981255465,1.0,0.50167227
10_PCB_002.nii.gz_noise_4.nii.gz,818.7862003114071,4.24119661036748,1.0,0.51212376
10_PCB_002.nii.gz_noise_5.nii.gz,1000.8779270280731,3.6232349324724904,1.0,0.6584449
10_PCB_002.nii.gz_noise_6.nii.gz,1211.3725386893743,3.132094901804223,1.0,0.7316054
10_PCB_002.nii.gz_noise_7.nii.gz,1396.529163382025,2.8397097658138,1.0,0.7420569
10_PCB_002.nii.gz_noise_8.nii.gz,1635.3000419303894,2.5450611611890697,1.0,0.7420569
10_PCB_002.nii.gz_noise_9.nii.gz,1844.4216795588582,2.3653498399237622,1.0,0.7420569
10_PCB_002.nii.gz_noise_10.nii.gz,2009.348494417286,2.2712659621543017,1.0,0.7525084
10_PCB_002.nii.gz_noise_1.nii.gz,202.70480715793485,15.57902901093834,1.0,0.15050167
10_PCB_002.nii.gz_noise_2.nii.gz,400.75323087579284,8.07401281201824,1.0,0.20066889
10_PCB_002.nii.gz_noise_3.nii.gz,610.3970269006746,5.4752287981255465,1.0,0.5518394
10_PCB_002.nii.gz_noise_4.nii.gz,818.7862003114071,4.24119661036748,1.0,0.61872905
10_PCB_002.nii.gz_noise_5.nii.gz,1000.8779270280731,3.6232349324724904,1.0,0.7357859
10_PCB_002.nii.gz_noise_6.nii.gz,1211.3725386893743,3.132094901804223,1.0,0.74250834
10_PCB_002.nii.gz_noise_7.nii.gz,1396.529163382025,2.8397097658138,1.0,0.7525307
10_PCB_002.nii.gz_noise_8.nii.gz,1635.3000419303894,2.5450611611890697,1.0,0.7592307
10_PCB_002.nii.gz_noise_9.nii.gz,1844.4216795588582,2.3653498399237622,1.0,0.7792317
